epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
114,821.93,0.10649,0.97625,1,0.07543,0.000550813,0.000550813,0.000550813
115,829.062,0.08647,0.97537,1,0.07518,0.000544625,0.000544625,0.000544625
116,836.21,0.10467,0.98417,1,0.05595,0.000538438,0.000538438,0.000538438
117,843.449,0.08049,0.97625,1,0.06858,0.00053225,0.00053225,0.00053225
118,850.578,0.09738,0.98153,1,0.05291,0.000526063,0.000526063,0.000526063
119,857.687,0.08811,0.9657,1,0.08858,0.000519875,0.000519875,0.000519875
120,864.862,0.10338,0.97801,1,0.05883,0.000513688,0.000513688,0.000513688
121,871.998,0.09512,0.97889,1,0.05666,0.0005075,0.0005075,0.0005075
122,879.157,0.09308,0.98329,1,0.05977,0.000501313,0.000501313,0.000501313
123,886.338,0.1004,0.98241,1,0.06104,0.000495125,0.000495125,0.000495125
124,893.459,0.07428,0.97713,1,0.07107,0.000488938,0.000488938,0.000488938
125,900.587,0.08689,0.97537,1,0.06823,0.00048275,0.00048275,0.00048275
126,907.706,0.08616,0.97274,1,0.06412,0.000476562,0.000476562,0.000476562
127,914.84,0.08099,0.98505,1,0.0469,0.000470375,0.000470375,0.000470375
128,921.996,0.0987,0.97713,1,0.05747,0.000464188,0.000464188,0.000464188
129,929.139,0.08683,0.97449,1,0.06621,0.000458,0.000458,0.000458
130,936.265,0.084,0.97977,1,0.05715,0.000451813,0.000451813,0.000451813
131,943.369,0.06939,0.97889,1,0.06676,0.000445625,0.000445625,0.000445625
132,950.538,0.06041,0.97977,1,0.05581,0.000439437,0.000439437,0.000439437
133,957.683,0.07924,0.98065,1,0.04621,0.00043325,0.00043325,0.00043325
134,964.823,0.07565,0.98329,1,0.04313,0.000427062,0.000427062,0.000427062
135,971.929,0.06102,0.97801,1,0.05758,0.000420875,0.000420875,0.000420875
136,979.128,0.07114,0.97889,1,0.05679,0.000414688,0.000414688,0.000414688
137,986.244,0.08668,0.98065,1,0.05401,0.0004085,0.0004085,0.0004085
138,993.356,0.06216,0.98153,1,0.05981,0.000402312,0.000402312,0.000402312
139,1000.51,0.07469,0.98153,1,0.05551,0.000396125,0.000396125,0.000396125
140,1007.68,0.07702,0.98065,1,0.05678,0.000389938,0.000389938,0.000389938
141,1014.82,0.07157,0.97801,1,0.05786,0.00038375,0.00038375,0.00038375
142,1022,0.06724,0.97977,1,0.06315,0.000377563,0.000377563,0.000377563
