epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
112,714.102,0.17086,0.96053,1,0.10585,0.000524869,0.000524869,0.000524869
113,720.45,0.16083,0.95749,1,0.09377,0.000515308,0.000515308,0.000515308
114,726.771,0.1837,0.96154,1,0.09968,0.000505775,0.000505775,0.000505775
115,733.145,0.16217,0.96356,1,0.09022,0.000496274,0.000496274,0.000496274
116,739.448,0.17737,0.96154,1,0.09885,0.000486806,0.000486806,0.000486806
117,745.736,0.16364,0.96154,1,0.09797,0.000477373,0.000477373,0.000477373
118,752.106,0.16246,0.95749,1,0.08932,0.000467979,0.000467979,0.000467979
119,758.437,0.15058,0.9666,1,0.07907,0.000458624,0.000458624,0.000458624
120,764.826,0.14396,0.96964,1,0.07554,0.000449313,0.000449313,0.000449313
121,771.146,0.15264,0.96255,1,0.09817,0.000440046,0.000440046,0.000440046
122,777.455,0.15002,0.9666,1,0.08923,0.000430826,0.000430826,0.000430826
123,783.776,0.1385,0.96761,1,0.073,0.000421656,0.000421656,0.000421656
124,790.099,0.13012,0.97672,1,0.07075,0.000412537,0.000412537,0.000412537
125,796.449,0.13118,0.97368,1,0.06109,0.000403473,0.000403473,0.000403473
126,802.759,0.13161,0.97368,1,0.06749,0.000394465,0.000394465,0.000394465
127,809.06,0.12804,0.97672,1,0.06353,0.000385515,0.000385515,0.000385515
128,815.398,0.14269,0.96559,1,0.08198,0.000376625,0.000376625,0.000376625
129,821.735,0.12835,0.97368,1,0.07439,0.000367799,0.000367799,0.000367799
130,828.12,0.138,0.97166,1,0.06767,0.000359038,0.000359038,0.000359038
131,834.385,0.1204,0.97065,1,0.06746,0.000350343,0.000350343,0.000350343
132,840.7,0.1095,0.98178,1,0.05769,0.000341718,0.000341718,0.000341718
133,846.998,0.10485,0.97874,1,0.06464,0.000333165,0.000333165,0.000333165
134,853.321,0.10976,0.97874,1,0.059,0.000324685,0.000324685,0.000324685
135,859.656,0.12322,0.98178,1,0.05642,0.000316281,0.000316281,0.000316281
136,865.996,0.11642,0.97874,1,0.06162,0.000307954,0.000307954,0.000307954
137,872.326,0.11684,0.98583,1,0.05183,0.000299707,0.000299707,0.000299707
138,878.64,0.09634,0.98583,1,0.04766,0.000291542,0.000291542,0.000291542
139,884.932,0.08524,0.98381,1,0.04876,0.000283461,0.000283461,0.000283461
140,891.227,0.09766,0.98684,1,0.04661,0.000275466,0.000275466,0.000275466
141,897.581,0.10356,0.98279,1,0.05371,0.000267558,0.000267558,0.000267558
142,903.91,0.10548,0.97672,1,0.06277,0.00025974,0.00025974,0.00025974
143,910.244,0.09526,0.98583,1,0.04766,0.000252014,0.000252014,0.000252014
144,916.537,0.09669,0.98482,1,0.04656,0.000244381,0.000244381,0.000244381
145,922.842,0.0919,0.98279,1,0.05506,0.000236844,0.000236844,0.000236844
146,929.119,0.0796,0.98279,1,0.0539,0.000229404,0.000229404,0.000229404
147,935.459,0.08484,0.97773,1,0.06354,0.000222063,0.000222063,0.000222063
148,941.778,0.08073,0.98279,1,0.05342,0.000214824,0.000214824,0.000214824
149,948.116,0.08478,0.98279,1,0.05807,0.000207686,0.000207686,0.000207686
150,954.482,0.07145,0.98279,1,0.05472,0.000200654,0.000200654,0.000200654
151,960.821,0.08331,0.98887,1,0.04963,0.000193728,0.000193728,0.000193728
152,967.153,0.0791,0.98583,1,0.04757,0.000186909,0.000186909,0.000186909
153,973.423,0.08525,0.98178,1,0.05375,0.000180201,0.000180201,0.000180201
154,979.785,0.07667,0.98583,1,0.05079,0.000173603,0.000173603,0.000173603
155,986.124,0.08202,0.98887,1,0.04579,0.000167119,0.000167119,0.000167119
156,992.467,0.06752,0.98684,1,0.0475,0.000160749,0.000160749,0.000160749
157,998.753,0.06613,0.98381,1,0.04932,0.000154495,0.000154495,0.000154495
158,1005.11,0.06259,0.98381,1,0.04938,0.000148359,0.000148359,0.000148359
159,1011.41,0.07481,0.98178,1,0.0451,0.000142342,0.000142342,0.000142342
160,1017.75,0.06231,0.98381,1,0.04662,0.000136445,0.000136445,0.000136445
161,1024.01,0.06727,0.98583,1,0.04465,0.000130671,0.000130671,0.000130671
162,1030.31,0.06563,0.97976,1,0.04827,0.00012502,0.00012502,0.00012502
163,1036.69,0.06943,0.98482,1,0.04395,0.000119494,0.000119494,0.000119494
164,1043.07,0.05608,0.98077,1,0.04506,0.000114094,0.000114094,0.000114094
165,1049.5,0.06812,0.98279,1,0.04582,0.000108822,0.000108822,0.000108822
166,1055.84,0.06093,0.98482,1,0.0439,0.000103679,0.000103679,0.000103679
167,1062.15,0.05239,0.98381,1,0.04336,9.86659e-05,9.86659e-05,9.86659e-05
168,1068.51,0.05891,0.98482,1,0.04109,9.37843e-05,9.37843e-05,9.37843e-05
169,1074.94,0.06056,0.98583,1,0.0406,8.90352e-05,8.90352e-05,8.90352e-05
170,1081.28,0.0636,0.98482,1,0.03901,8.442e-05,8.442e-05,8.442e-05
171,1087.65,0.05113,0.98583,1,0.0354,7.99397e-05,7.99397e-05,7.99397e-05
172,1093.98,0.05697,0.98684,1,0.03286,7.55954e-05,7.55954e-05,7.55954e-05
173,1100.34,0.06057,0.9919,1,0.02945,7.13883e-05,7.13883e-05,7.13883e-05
174,1106.7,0.06192,0.98887,1,0.03241,6.73192e-05,6.73192e-05,6.73192e-05
175,1113.03,0.05443,0.98684,1,0.03257,6.33893e-05,6.33893e-05,6.33893e-05
176,1119.36,0.05181,0.98887,1,0.03215,5.95995e-05,5.95995e-05,5.95995e-05
177,1125.68,0.04833,0.98785,1,0.03388,5.59508e-05,5.59508e-05,5.59508e-05
178,1132.01,0.05812,0.98684,1,0.03507,5.2444e-05,5.2444e-05,5.2444e-05
179,1138.37,0.05219,0.98785,1,0.03489,4.908e-05,4.908e-05,4.908e-05
180,1144.7,0.05866,0.98785,1,0.0342,4.58597e-05,4.58597e-05,4.58597e-05
181,1151.1,0.04313,0.98887,1,0.03478,4.27838e-05,4.27838e-05,4.27838e-05
182,1157.44,0.05668,0.98988,1,0.03214,3.98531e-05,3.98531e-05,3.98531e-05
183,1163.81,0.05307,0.98988,1,0.03476,3.70683e-05,3.70683e-05,3.70683e-05
184,1170.18,0.05481,0.98988,1,0.03625,3.44301e-05,3.44301e-05,3.44301e-05
185,1176.53,0.0464,0.98988,1,0.03505,3.19392e-05,3.19392e-05,3.19392e-05
186,1182.87,0.04146,0.98988,1,0.03495,2.95961e-05,2.95961e-05,2.95961e-05
187,1189.2,0.04513,0.98887,1,0.03369,2.74015e-05,2.74015e-05,2.74015e-05
